AGS,Altersgruppe,Name,GueltigAb,GueltigBis,Einwohner,männlich,weiblich
00,A00+,Bundesgebiet,2020-01-01,2020-10-09,83122535,,
00,A00+,Bundesgebiet,2020-10-10,2021-08-25,83166711,,
00,A00+,Bundesgebiet,2021-08-26,2021-08-26,83148406,,
00,A00+,Bundesgebiet,2021-08-27,2222-12-31,83155031,41026534,42128547
00,A00-A04,Bundesgebiet,2021-08-27,2222-12-31,3969136,2036081,1933055
00,A05-A14,Bundesgebiet,2021-08-27,2222-12-31,7508663,3860279,3648384
00,A15-A34,Bundesgebiet,2021-08-27,2222-12-31,18921299,9815454,9105845
00,A35-A59,Bundesgebiet,2021-08-27,2222-12-31,28666182,14425632,14240550
00,A60-A79,Bundesgebiet,2021-08-27,2222-12-31,18153367,8605898,9547469
00,A80+,Bundesgebiet,2021-08-27,2222-12-31,5936434,2283190,3653244
00,unbekannt,Bundesgebiet,2020-01-01,2222-12-31,0,0,0
01,A00+,Schleswig-Holstein,2020-01-01,2020-10-07,2896712,,
01,A00+,Schleswig-Holstein,2020-10-08,2021-08-25,2903773,,
01,A00+,Schleswig-Holstein,2021-08-26,2222-12-31,2910875,1425649,1485226
01,A00-A04,Schleswig-Holstein,2021-08-26,2222-12-31,129579,66353,63226
01,A05-A14,Schleswig-Holstein,2021-08-26,2222-12-31,260861,133898,126963
01,A15-A34,Schleswig-Holstein,2021-08-26,2222-12-31,629218,326445,302773
01,A35-A59,Schleswig-Holstein,2021-08-26,2222-12-31,1008825,497756,511069
01,A60-A79,Schleswig-Holstein,2021-08-26,2222-12-31,662065,313550,348515
01,A80+,Schleswig-Holstein,2021-08-26,2222-12-31,220327,87647,132680
01,unbekannt,Schleswig-Holstein,2020-01-01,2222-12-31,0,0,0
01001,A00+,SK Flensburg,2020-01-01,2020-10-07,89504,,
01001,A00+,SK Flensburg,2020-10-08,2021-08-26,90164,,
01001,A00+,SK Flensburg,2021-08-27,2222-12-31,89934,44797,45137
01001,A00-A04,SK Flensburg,2020-10-08,2021-08-26,4394,2298,2096
01001,A05-A14,SK Flensburg,2020-10-08,2021-08-26,7616,3903,3713
01001,A15-A34,SK Flensburg,2020-10-08,2021-08-26,26767,14024,12743
01001,A35-A59,SK Flensburg,2020-10-08,2021-08-26,27474,13998,13476
01001,A60-A79,SK Flensburg,2020-10-08,2021-08-26,17832,8304,9528
01001,A80+,SK Flensburg,2020-10-08,2021-08-26,5851,2270,3581
01001,unbekannt,SK Flensburg,2020-01-01,2222-12-31,0,0,0
01002,A00+,SK Kiel,2020-01-01,2020-10-07,247548,,
01002,A00+,SK Kiel,2020-10-08,2021-08-26,246794,,
01002,A00+,SK Kiel,2021-08-27,2222-12-31,246601,120045,126556
01002,A00-A04,SK Kiel,2021-08-27,2222-12-31,11158,5675,5483
01002,A05-A14,SK Kiel,2021-08-27,2222-12-31,19503,9970,9533
01002,A15-A34,SK Kiel,2021-08-27,2222-12-31,76476,38323,38153
01002,A35-A59,SK Kiel,2021-08-27,2222-12-31,78598,39095,39503
01002,A60-A79,SK Kiel,2021-08-27,2222-12-31,45960,21395,24565
01002,A80+,SK Kiel,2021-08-27,2222-12-31,14906,5587,9319
01002,unbekannt,SK Kiel,2020-01-01,2222-12-31,0,0,0
01003,A00+,SK Lübeck,2020-01-01,2020-10-07,217198,,
01003,A00+,SK Lübeck,2020-10-08,2021-08-26,216530,,
01003,A00+,SK Lübeck,2021-08-27,2222-12-31,215846,103623,112223
01003,A00-A04,SK Lübeck,2021-08-27,2222-12-31,9328,4769,4559
01003,A05-A14,SK Lübeck,2021-08-27,2222-12-31,17839,9165,8674
01003,A15-A34,SK Lübeck,2021-08-27,2222-12-31,52068,26505,25563
01003,A35-A59,SK Lübeck,2021-08-27,2222-12-31,71737,35197,36540
01003,A60-A79,SK Lübeck,2021-08-27,2222-12-31,47508,21551,25957
01003,A80+,SK Lübeck,2021-08-27,2222-12-31,17366,6436,10930
01003,unbekannt,SK Lübeck,2020-01-01,2222-12-31,0,0,0
01004,A00+,SK Neumünster,2020-01-01,2020-10-07,79487,,
01004,A00+,SK Neumünster,2020-10-08,2021-08-26,80196,,
01004,A00+,SK Neumünster,2021-08-27,2222-12-31,79905,39558,40347
01004,A00-A04,SK Neumünster,2021-08-27,2222-12-31,3528,1856,1672
01004,A05-A14,SK Neumünster,2021-08-27,2222-12-31,7265,3770,3495
01004,A15-A34,SK Neumünster,2021-08-27,2222-12-31,18996,10028,8968
01004,A35-A59,SK Neumünster,2021-08-27,2222-12-31,26519,13345,13174
01004,A60-A79,SK Neumünster,2021-08-27,2222-12-31,17469,8224,9245
01004,A80+,SK Neumünster,2021-08-27,2222-12-31,6128,2335,3793
01004,unbekannt,SK Neumünster,2020-01-01,2222-12-31,0,0,0
01051,A00+,LK Dithmarschen,2020-01-01,2020-10-07,133210,,
01051,A00+,LK Dithmarschen,2020-10-08,2021-08-26,133193,,
01051,A00+,LK Dithmarschen,2021-08-27,2222-12-31,133251,65711,67540
01051,A00-A04,LK Dithmarschen,2021-08-27,2222-12-31,5480,2790,2690
01051,A05-A14,LK Dithmarschen,2021-08-27,2222-12-31,11510,5879,5631
01051,A15-A34,LK Dithmarschen,2021-08-27,2222-12-31,27763,14537,13226
01051,A35-A59,LK Dithmarschen,2021-08-27,2222-12-31,44559,22120,22439
01051,A60-A79,LK Dithmarschen,2021-08-27,2222-12-31,33412,16125,17287
01051,A80+,LK Dithmarschen,2021-08-27,2222-12-31,10527,4260,6267
01051,unbekannt,LK Dithmarschen,2020-01-01,2222-12-31,0,0,0
01053,A00+,LK Herzogtum Lauenburg,2020-01-01,2020-10-07,197264,,
01053,A00+,LK Herzogtum Lauenburg,2020-10-08,2021-08-26,198019,,
01053,A00+,LK Herzogtum Lauenburg,2021-08-27,2222-12-31,199152,97730,101422
01053,A00-A04,LK Herzogtum Lauenburg,2021-08-27,2222-12-31,9661,4935,4726
01053,A05-A14,LK Herzogtum Lauenburg,2021-08-27,2222-12-31,19015,9806,9209
01053,A15-A34,LK Herzogtum Lauenburg,2021-08-27,2222-12-31,39636,20615,19021
01053,A35-A59,LK Herzogtum Lauenburg,2021-08-27,2222-12-31,71645,35338,36307
01053,A60-A79,LK Herzogtum Lauenburg,2021-08-27,2222-12-31,43821,20961,22860
01053,A80+,LK Herzogtum Lauenburg,2021-08-27,2222-12-31,15374,6075,9299
01053,unbekannt,LK Herzogtum Lauenburg,2020-01-01,2222-12-31,0,0,0
01054,A00+,LK Nordfriesland,2020-01-01,2020-10-07,165507,,
01054,A00+,LK Nordfriesland,2020-10-08,2021-08-26,165951,,
01054,A00+,LK Nordfriesland,2021-08-27,2222-12-31,167147,81789,85358
01054,A00-A04,LK Nordfriesland,2021-08-27,2222-12-31,6954,3612,3342
01054,A05-A14,LK Nordfriesland,2021-08-27,2222-12-31,14011,7185,6826
01054,A15-A34,LK Nordfriesland,2021-08-27,2222-12-31,35813,18956,16857
01054,A35-A59,LK Nordfriesland,2021-08-27,2222-12-31,56831,27695,29136
01054,A60-A79,LK Nordfriesland,2021-08-27,2222-12-31,40710,19234,21476
01054,A80+,LK Nordfriesland,2021-08-27,2222-12-31,12828,5107,7721
01054,unbekannt,LK Nordfriesland,2020-01-01,2222-12-31,0,0,0
01055,A00+,LK Ostholstein,2020-01-01,2020-10-07,200581,,
01055,A00+,LK Ostholstein,2020-10-08,2021-08-26,200539,,
01055,A00+,LK Ostholstein,2021-08-27,2222-12-31,201487,97171,104316
01055,A00-A04,LK Ostholstein,2021-08-27,2222-12-31,7415,3715,3700
01055,A05-A14,LK Ostholstein,2021-08-27,2222-12-31,16033,8157,7876
01055,A15-A34,LK Ostholstein,2021-08-27,2222-12-31,36483,19089,17394
01055,A35-A59,LK Ostholstein,2021-08-27,2222-12-31,69248,33306,35942
01055,A60-A79,LK Ostholstein,2021-08-27,2222-12-31,54545,25716,28829
01055,A80+,LK Ostholstein,2021-08-27,2222-12-31,17763,7188,10575
01055,unbekannt,LK Ostholstein,2020-01-01,2222-12-31,0,0,0
01056,A00+,LK Pinneberg,2020-01-01,2020-10-07,314391,,
01056,A00+,LK Pinneberg,2020-10-08,2021-08-26,316103,,
01056,A00+,LK Pinneberg,2021-08-27,2222-12-31,317085,155554,161531
01056,A00-A04,LK Pinneberg,2021-08-27,2222-12-31,15127,7719,7408
01056,A05-A14,LK Pinneberg,2021-08-27,2222-12-31,30019,15334,14685
