Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-29,1,1001,23934,71,128,1,835,2022-04-29,2022-04-28,89934,928.4586474525763
2022-04-29,1,1002,56807,215,328,0,2275,2022-04-29,2022-04-28,246601,922.5428931756157
2022-04-29,1,1003,51821,135,375,1,2341,2022-04-29,2022-04-28,215846,1084.5695542192118
2022-04-29,1,1004,19135,81,157,0,822,2022-04-29,2022-04-28,79905,1028.7216069082035
2022-04-29,1,1051,31362,98,232,0,1641,2022-04-29,2022-04-28,133251,1231.5104577076345
2022-04-29,1,1053,44636,151,464,0,1347,2022-04-29,2022-04-28,199152,676.3677994697517
2022-04-29,1,1054,40556,137,275,0,2208,2022-04-29,2022-04-28,167147,1320.9928984666192
2022-04-29,1,1055,38730,116,409,0,3093,2022-04-29,2022-04-28,201487,1535.086630899264
2022-04-29,1,1056,72999,470,582,1,2432,2022-04-29,2022-04-28,317085,766.9867701089613
2022-04-29,1,1057,23118,51,0,0,972,2022-04-29,2022-04-27,129353,751.432127588846
2022-04-29,1,1058,59235,98,435,0,2955,2022-04-29,2022-04-28,274765,1075.4644878350591
2022-04-29,1,1059,44329,116,264,0,2345,2022-04-29,2022-04-28,202647,1157.1846610115126
2022-04-29,1,1060,66872,272,936,1,2866,2022-04-29,2022-04-28,278007,1030.9092936508794
2022-04-29,1,1061,22812,65,188,0,1471,2022-04-29,2022-04-28,130706,1125.4265297691002
2022-04-29,1,1062,55017,365,516,0,2407,2022-04-29,2022-04-28,244989,982.4930915265583
2022-04-29,2,2000,540800,2524,3374,3,16003,2022-04-29,2022-04-28,1852478,863.8699083066033
2022-04-29,3,3101,61315,273,376,2,2357,2022-04-29,2022-04-28,248561,948.2581740498309
2022-04-29,3,3102,32790,163,103,0,662,2022-04-29,2022-04-28,103866,637.3596749658213
2022-04-29,3,3103,36265,186,269,1,1627,2022-04-29,2022-04-28,123840,1313.7919896640826
2022-04-29,3,3151,48400,300,282,0,2005,2022-04-29,2022-04-28,177227,1131.317462914793
2022-04-29,3,3153,31358,187,205,0,1204,2022-04-29,2022-04-28,134688,893.9177952007602
2022-04-29,3,3154,23780,137,161,0,854,2022-04-29,2022-04-28,91518,933.149762888175
2022-04-29,3,3155,32717,135,193,0,1607,2022-04-29,2022-04-28,131772,1219.5307045502839
2022-04-29,3,3157,38290,144,157,0,1142,2022-04-29,2022-04-28,135844,840.6701805011631
2022-04-29,3,3158,28935,123,152,0,1023,2022-04-29,2022-04-28,119361,857.0638650815592
2022-04-29,3,3159,67168,379,367,0,2494,2022-04-29,2022-04-28,323900,769.9907378820624
2022-04-29,3,3241,321329,1563,1086,0,8127,2022-04-29,2022-04-28,1155330,703.4353820986212
