Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-04-30,0,Bundesgebiet,24798067,135451,87298,159,596525,717.3648940134482
2022-04-30,1,Schleswig-Holstein,655724,2444,4361,3,28693,985.7173530295873
2022-04-30,2,Hamburg,544329,2526,3529,2,15801,852.9655952729263
2022-04-30,3,Niedersachsen,2160695,8750,14014,26,80764,1009.1184757118237
2022-04-30,4,Bremen,185997,753,545,4,5277,775.8810815579375
2022-04-30,5,Nordrhein-Westfalen,4947757,24745,16599,36,116575,650.3279951488294
2022-04-30,6,Hessen,1726514,9918,6899,3,54271,862.3815657458882
2022-04-30,7,Rheinland-Pfalz,1076165,5516,4691,8,29460,718.8186778665091
2022-04-30,8,Baden-Württemberg,3487649,15757,10195,10,71425,643.2921137025228
2022-04-30,9,Bayern,4634543,23559,13721,33,101447,772.0364320649111
2022-04-30,10,Saarland,300073,1638,1006,3,7712,783.7470058161102
2022-04-30,11,Berlin,1000143,4485,2789,5,19024,519.2015038940112
2022-04-30,12,Brandenburg,762694,5559,1636,3,14022,553.9947318743726
2022-04-30,13,Mecklenburg-Vorpommern,467650,2158,1117,3,9026,560.3517315278245
2022-04-30,14,Sachsen,1465979,15285,3046,13,20870,514.4270030054665
2022-04-30,15,Sachsen-Anhalt,691122,5253,2007,5,12977,595.0885135122742
2022-04-30,16,Thüringen,691033,7105,1143,2,9181,433.01762963291367
