Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-05-05,0,25130137,136125,96167,183,471289,2022-05-05,2022-05-04,83155031,566.7594543978945
2022-05-05,1,673192,2454,4834,2,24521,2022-05-05,2022-05-04,2910875,842.3927513204792
2022-05-05,2,551360,2556,2084,16,9355,2022-05-05,2022-05-04,1852478,504.99924965370707
2022-05-05,3,2206537,8863,13233,21,63955,2022-05-05,2022-05-04,8003421,799.0957866642277
2022-05-05,4,189290,762,900,2,4525,2022-05-05,2022-05-04,680130,665.3139840912767
2022-05-05,5,5015339,24878,19388,42,93075,2022-05-05,2022-05-04,17925570,519.230350834032
2022-05-05,6,1753650,9978,6907,6,40897,2022-05-05,2022-05-04,6293154,649.8649167015458
2022-05-05,7,1090899,5540,4525,7,21037,2022-05-05,2022-05-04,4098391,513.2989995342075
2022-05-05,8,3528751,15826,12873,18,58121,2022-05-05,2022-05-04,11103043,523.4691066223918
2022-05-05,9,4694833,23633,17511,19,85418,2022-05-05,2022-05-04,13140183,650.051829567366
2022-05-05,10,304002,1648,946,6,6023,2022-05-05,2022-05-04,983991,612.0990944022863
2022-05-05,11,1010021,4503,2673,8,15237,2022-05-05,2022-05-04,3664088,415.8469993078769
2022-05-05,12,769747,5572,2071,5,10181,2022-05-05,2022-05-04,2531071,402.24079055862126
2022-05-05,13,471826,2167,922,3,6456,2022-05-05,2022-05-04,1610774,400.8011055554659
2022-05-05,14,1477149,15344,3438,19,15535,2022-05-05,2022-05-04,4056941,382.923981393863
2022-05-05,15,697741,5268,2265,3,10276,2022-05-05,2022-05-04,2180684,471.2282935079085
2022-05-05,16,695800,7133,1597,6,6677,2022-05-05,2022-05-04,2120237,314.9176247749662
