Datenstand,IdBundesland,IdLandkreis,Landkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-24,1,1001,SK Flensburg,26013,73,167,0,471,523.7173927546868
2022-05-24,1,1002,SK Kiel,62236,220,237,0,1101,446.4702089610342
2022-05-24,1,1003,SK Lübeck,56974,137,325,0,1131,523.98469279023
2022-05-24,1,1004,SK Neumünster,20592,85,80,1,310,387.96070333521055
2022-05-24,1,1051,LK Dithmarschen,34482,103,125,0,548,411.25394931370124
2022-05-24,1,1053,LK Herzogtum Lauenburg,49570,153,197,0,708,355.50735116895635
2022-05-24,1,1054,LK Nordfriesland,44990,146,197,1,774,463.06544538639645
2022-05-24,1,1055,LK Ostholstein,43349,117,60,0,814,403.9962876016815
2022-05-24,1,1056,LK Pinneberg,79868,476,450,0,1422,448.4601920620654
2022-05-24,1,1057,LK Plön,26353,54,190,0,738,570.5318005767165
2022-05-24,1,1058,LK Rendsburg-Eckernförde,66550,101,409,0,1549,563.7544811020326
2022-05-24,1,1059,LK Schleswig-Flensburg,49135,124,302,0,1065,525.5444196065079
2022-05-24,1,1060,LK Segeberg,74164,289,349,0,1224,440.2766836806267
2022-05-24,1,1061,LK Steinburg,30012,66,380,0,536,410.08063899132407
2022-05-24,1,1062,LK Stormarn,60114,372,224,0,1076,439.2033928053912
2022-05-24,2,2000,SK Hamburg,577907,2643,2197,1,6167,332.9054380132989
2022-05-24,3,3101,SK Braunschweig,66417,288,250,0,1061,426.85698882769225
2022-05-24,3,3102,SK Salzgitter,34289,165,88,1,276,265.7269943966264
2022-05-24,3,3103,SK Wolfsburg,38322,192,101,0,351,283.43023255813955
2022-05-24,3,3151,LK Gifhorn,51516,330,119,0,527,297.358754591569
2022-05-24,3,3153,LK Goslar,33566,207,99,0,415,308.11950582086007
2022-05-24,3,3154,LK Helmstedt,25479,142,80,0,283,309.2287855940908
2022-05-24,3,3155,LK Northeim,35524,138,115,1,474,359.71223021582733
2022-05-24,3,3157,LK Peine,41013,156,121,0,430,316.5395600836253
2022-05-24,3,3158,LK Wolfenbüttel,31251,127,116,0,478,400.4658137917745
2022-05-24,3,3159,LK Göttingen,74872,388,386,1,1359,419.57394257486874
2022-05-24,3,3241,Region Hannover,340974,1669,836,2,3605,312.03206010403954
2022-05-24,3,3251,LK Diepholz,63629,140,276,0,1205,552.5697934627095
2022-05-24,3,3252,LK Hameln-Pyrmont,41173,121,92,0,643,432.76349441378386
2022-05-24,3,3254,LK Hildesheim,75977,471,265,0,1075,390.25063166148755
2022-05-24,3,3255,LK Holzminden,18742,138,39,0,289,411.63986497072943
2022-05-24,3,3256,LK Nienburg (Weser),35086,200,136,1,539,443.0926055324921
2022-05-24,3,3257,LK Schaumburg,45161,184,136,0,623,393.29318333901494
