Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2022-04-11,0,22677986,131728,30789,13,898086,2022-04-11,2022-04-10
2022-04-11,1,558010,2340,660,0,32324,2022-04-11,2022-04-10
2022-04-11,2,483663,2437,1846,0,21146,2022-04-11,2022-04-09
2022-04-11,3,1866629,8312,0,0,97226,2022-04-11,2022-04-08
2022-04-11,4,165683,726,9,0,6634,2022-04-11,2022-04-10
2022-04-11,5,4527953,24038,10089,4,177322,2022-04-11,2022-04-10
2022-04-11,6,1549561,9709,2538,0,66722,2022-04-11,2022-04-10
2022-04-11,7,964650,5354,1206,0,49553,2022-04-11,2022-04-10
2022-04-11,8,3213781,15368,2,0,106251,2022-04-11,2022-04-10
2022-04-11,9,4305152,22954,9865,6,167304,2022-04-11,2022-04-10
2022-04-11,10,272007,1566,75,0,15364,2022-04-11,2022-04-10
2022-04-11,11,945480,4407,99,0,25515,2022-04-11,2022-04-10
2022-04-11,12,716821,5469,0,0,18659,2022-04-11,2022-04-08
2022-04-11,13,432285,2067,895,1,22046,2022-04-11,2022-04-10
2022-04-11,14,1387733,14944,2676,0,43421,2022-04-11,2022-04-10
2022-04-11,15,642117,5108,828,2,21358,2022-04-11,2022-04-10
2022-04-11,16,646461,6929,1,0,27241,2022-04-11,2022-04-09
