Datenstand,IdBundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-18,0,23437145,132953,20482,11,672558,2022-04-18,2022-04-17,83155031,808.8001314075633
2022-04-18,1,588453,2373,554,0,27243,2022-04-18,2022-04-17,2910875,935.9041525314552
2022-04-18,2,506126,2479,1373,0,18012,2022-04-18,2022-04-17,1852478,972.3192394187678
2022-04-18,3,1961605,8461,0,0,76575,2022-04-18,2022-04-14,8003421,956.7783576548078
2022-04-18,4,173943,735,0,0,7172,2022-04-18,2022-04-16,680130,1054.504285945334
2022-04-18,5,4678726,24284,3892,2,137691,2022-04-18,2022-04-17,17925570,768.1262018446275
2022-04-18,6,1611695,9769,2232,0,57058,2022-04-18,2022-04-17,6293154,906.667785342612
2022-04-18,7,1005124,5420,861,1,36262,2022-04-18,2022-04-17,4098391,884.7862490426121
2022-04-18,8,3311070,15512,0,0,77527,2022-04-18,2022-04-16,11103043,698.2500202872312
2022-04-18,9,4435651,23143,10008,3,123454,2022-04-18,2022-04-17,13140183,939.5150737246202
2022-04-18,10,283625,1587,0,0,11666,2022-04-18,2022-04-16,983991,1185.5799494101063
2022-04-18,11,964334,4427,147,0,17672,2022-04-18,2022-04-17,3664088,482.3028267880029
2022-04-18,12,731755,5491,0,0,12425,2022-04-18,2022-04-14,2531071,490.89891196256445
2022-04-18,13,447031,2106,1226,3,14815,2022-04-18,2022-04-17,1610774,919.7441726772346
2022-04-18,14,1413227,15055,0,0,23783,2022-04-18,2022-04-14,4056941,586.2298712256353
2022-04-18,15,659821,5151,189,2,15885,2022-04-18,2022-04-17,2180684,728.4411680004989
2022-04-18,16,664959,6960,0,0,15318,2022-04-18,2022-04-15,2120237,722.4664035199838
