Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-23,1,1001,23245,69,145,0,993,2022-04-23,2022-04-22,89934,1104.143038228034
2022-04-23,1,1002,54966,212,446,4,2869,2022-04-23,2022-04-22,246601,1163.4178288003698
2022-04-23,1,1003,49930,132,475,0,3237,2022-04-23,2022-04-22,215846,1499.6803276410033
2022-04-23,1,1004,18417,79,102,0,883,2022-04-23,2022-04-22,79905,1105.0622614354545
2022-04-23,1,1051,30007,96,288,0,1782,2022-04-23,2022-04-22,133251,1337.3257986806852
2022-04-23,1,1053,42658,151,235,1,1093,2022-04-23,2022-04-22,199152,548.8270265927532
2022-04-23,1,1054,38667,133,431,1,2377,2022-04-23,2022-04-22,167147,1422.1015034670081
2022-04-23,1,1055,36070,115,1164,1,2941,2022-04-23,2022-04-22,201487,1459.6475206837165
2022-04-23,1,1056,70723,466,600,1,2960,2022-04-23,2022-04-22,317085,933.503634672091
2022-04-23,1,1057,22346,51,267,0,1834,2022-04-23,2022-04-22,129353,1417.8256399155798
2022-04-23,1,1058,56696,98,441,0,3770,2022-04-23,2022-04-22,274765,1372.0815970010735
2022-04-23,1,1059,42331,112,385,0,2164,2022-04-23,2022-04-22,202647,1067.8667831253363
2022-04-23,1,1060,63004,270,1038,2,2699,2022-04-23,2022-04-22,278007,970.8388637696173
2022-04-23,1,1061,21582,64,242,0,1019,2022-04-23,2022-04-22,130706,779.6122595749239
2022-04-23,1,1062,53039,365,481,0,2700,2022-04-23,2022-04-22,244989,1102.0902979317439
2022-04-23,2,2000,521933,2497,4992,4,14792,2022-04-23,2022-04-22,1852478,798.4980118522325
2022-04-23,3,3101,59396,267,428,0,2959,2022-04-23,2022-04-22,248561,1190.452243111349
2022-04-23,3,3102,32238,161,103,1,961,2022-04-23,2022-04-22,103866,925.2305855621667
2022-04-23,3,3103,34839,178,206,0,876,2022-04-23,2022-04-22,123840,707.3643410852713
2022-04-23,3,3151,46738,294,449,0,1482,2022-04-23,2022-04-22,177227,836.2157007679416
2022-04-23,3,3153,30352,187,195,0,1278,2022-04-23,2022-04-22,134688,948.8595866001426
2022-04-23,3,3154,23046,136,182,1,819,2022-04-23,2022-04-22,91518,894.9059201468563
2022-04-23,3,3155,31402,132,764,3,1858,2022-04-23,2022-04-22,131772,1410.0112315211122
2022-04-23,3,3157,37255,144,207,0,1387,2022-04-23,2022-04-22,135844,1021.0241158976472
2022-04-23,3,3158,28115,123,200,0,1405,2022-04-23,2022-04-22,119361,1177.1013982791699
2022-04-23,3,3159,65218,374,607,1,2742,2022-04-23,2022-04-22,323900,846.5575794998457
2022-04-23,3,3241,314315,1529,2486,16,9133,2022-04-23,2022-04-22,1155330,790.5100707157263
2022-04-23,3,3251,55174,134,727,1,3604,2022-04-23,2022-04-22,218072,1652.6651748046518
2022-04-23,3,3252,37342,121,217,0,1628,2022-04-23,2022-04-22,148580,1095.70601696056
2022-04-23,3,3254,68502,411,450,0,3090,2022-04-23,2022-04-22,275464,1121.743676124648
2022-04-23,3,3255,16605,123,334,0,728,2022-04-23,2022-04-22,70207,1036.9336390958167
2022-04-23,3,3256,30271,183,431,0,1800,2022-04-23,2022-04-22,121645,1479.7155657856879
2022-04-23,3,3257,39873,171,356,0,1709,2022-04-23,2022-04-22,158406,1078.8732750022095
2022-04-23,3,3351,44116,141,276,1,1812,2022-04-23,2022-04-22,179386,1010.1122718606803
2022-04-23,3,3352,46657,220,936,0,3041,2022-04-23,2022-04-22,198826,1529.4780360717411
2022-04-23,3,3353,59762,186,703,0,2714,2022-04-23,2022-04-22,256016,1060.0899943753516
2022-04-23,3,3354,10320,32,140,0,740,2022-04-23,2022-04-22,48503,1525.6788239902687
2022-04-23,3,3355,42923,102,442,0,1999,2022-04-23,2022-04-22,184235,1085.027274947757
2022-04-23,3,3356,25633,80,268,0,1483,2022-04-23,2022-04-22,114640,1293.6147941381716
2022-04-23,3,3357,38371,141,523,0,1861,2022-04-23,2022-04-22,164486,1131.4032805223544
2022-04-23,3,3358,32056,163,443,2,1413,2022-04-23,2022-04-22,140885,1002.9456649039998
