Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2022-04-28,1,1001,23806,70,149,1,863,2022-04-28,2022-04-27
2022-04-28,1,1002,56479,215,346,0,2551,2022-04-28,2022-04-27
2022-04-28,1,1003,51446,134,296,1,2534,2022-04-28,2022-04-27
2022-04-28,1,1004,18978,81,174,1,952,2022-04-28,2022-04-27
2022-04-28,1,1051,31130,98,266,1,1706,2022-04-28,2022-04-27
2022-04-28,1,1053,44172,151,545,0,1469,2022-04-28,2022-04-27
2022-04-28,1,1054,40281,137,347,0,2304,2022-04-28,2022-04-27
2022-04-28,1,1055,38321,116,483,0,3445,2022-04-28,2022-04-27
2022-04-28,1,1056,72417,469,497,2,2555,2022-04-28,2022-04-27
2022-04-28,1,1057,23118,51,173,0,1246,2022-04-28,2022-04-27
2022-04-28,1,1058,58800,98,529,0,3201,2022-04-28,2022-04-27
2022-04-28,1,1059,44065,116,273,0,2559,2022-04-28,2022-04-27
2022-04-28,1,1060,65936,271,796,0,2832,2022-04-28,2022-04-27
2022-04-28,1,1061,22624,65,310,0,1524,2022-04-28,2022-04-27
2022-04-28,1,1062,54502,365,288,0,2658,2022-04-28,2022-04-27
2022-04-28,2,2000,537425,2521,5018,8,17260,2022-04-28,2022-04-27
2022-04-28,3,3101,60939,271,318,0,2595,2022-04-28,2022-04-27
2022-04-28,3,3102,32687,163,85,0,724,2022-04-28,2022-04-27
2022-04-28,3,3103,35996,185,252,0,1695,2022-04-28,2022-04-27
2022-04-28,3,3151,48118,300,331,0,1954,2022-04-28,2022-04-27
2022-04-28,3,3153,31154,187,205,0,1294,2022-04-28,2022-04-27
2022-04-28,3,3154,23619,137,159,0,840,2022-04-28,2022-04-27
2022-04-28,3,3155,32524,135,287,1,1896,2022-04-28,2022-04-27
2022-04-28,3,3157,38133,144,162,0,1240,2022-04-28,2022-04-27
2022-04-28,3,3158,28783,123,175,0,1194,2022-04-28,2022-04-27
2022-04-28,3,3159,66801,379,625,0,2734,2022-04-28,2022-04-27
2022-04-28,3,3241,320243,1563,1440,0,9420,2022-04-28,2022-04-27
2022-04-28,3,3251,57265,136,579,1,3757,2022-04-28,2022-04-27
2022-04-28,3,3252,38116,121,187,0,1320,2022-04-28,2022-04-27
2022-04-28,3,3254,69956,430,196,3,2527,2022-04-28,2022-04-27
2022-04-28,3,3255,17161,124,140,0,893,2022-04-28,2022-04-27
2022-04-28,3,3256,31699,183,313,0,2363,2022-04-28,2022-04-27
2022-04-28,3,3257,41280,174,283,0,2138,2022-04-28,2022-04-27
2022-04-28,3,3351,45127,143,326,0,1811,2022-04-28,2022-04-27
2022-04-28,3,3352,48865,223,474,2,4013,2022-04-28,2022-04-27
2022-04-28,3,3353,61353,187,293,0,2452,2022-04-28,2022-04-27
2022-04-28,3,3354,10681,32,78,0,679,2022-04-28,2022-04-27
2022-04-28,3,3355,44417,102,415,0,2202,2022-04-28,2022-04-27
2022-04-28,3,3356,26637,82,224,0,1528,2022-04-28,2022-04-27
2022-04-28,3,3357,40517,142,1128,0,2743,2022-04-28,2022-04-27
2022-04-28,3,3358,32857,170,251,2,1255,2022-04-28,2022-04-27
2022-04-28,3,3359,48679,194,438,1,2760,2022-04-28,2022-04-27
2022-04-28,3,3360,21270,161,359,1,1494,2022-04-28,2022-04-27
2022-04-28,3,3361,35205,145,296,0,2238,2022-04-28,2022-04-27
2022-04-28,3,3401,20972,90,142,0,1000,2022-04-28,2022-04-27
2022-04-28,3,3402,14264,40,91,0,594,2022-04-28,2022-04-27
2022-04-28,3,3403,41390,60,497,0,2215,2022-04-28,2022-04-27
2022-04-28,3,3404,47808,149,298,0,1534,2022-04-28,2022-04-27
2022-04-28,3,3405,18066,104,156,1,827,2022-04-28,2022-04-27
2022-04-28,3,3451,27624,88,250,0,2026,2022-04-28,2022-04-27
2022-04-28,3,3452,50265,137,524,5,3193,2022-04-28,2022-04-27
2022-04-28,3,3453,58560,216,911,0,3231,2022-04-28,2022-04-27
2022-04-28,3,3454,116323,284,928,0,5524,2022-04-28,2022-04-27
2022-04-28,3,3455,21018,60,283,0,1260,2022-04-28,2022-04-27
2022-04-28,3,3456,47258,168,254,1,2282,2022-04-28,2022-04-27
2022-04-28,3,3457,45030,108,416,0,2540,2022-04-28,2022-04-27
2022-04-28,3,3458,35281,145,318,0,2218,2022-04-28,2022-04-27
2022-04-28,3,3459,108488,417,625,2,3532,2022-04-28,2022-04-27
2022-04-28,3,3460,54419,102,328,0,1791,2022-04-28,2022-04-27
