Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2022-04-05,1,1001,20841,64,120,0,1116,2022-04-05,2022-04-04
2022-04-05,1,1002,47370,198,552,1,5015,2022-04-05,2022-04-04
2022-04-05,1,1003,42170,130,447,0,2698,2022-04-05,2022-04-04
2022-04-05,1,1004,16242,71,103,1,1420,2022-04-05,2022-04-04
2022-04-05,1,1051,25138,90,156,0,2069,2022-04-05,2022-04-04
2022-04-05,1,1053,36686,148,663,0,2209,2022-04-05,2022-04-04
2022-04-05,1,1054,32800,128,548,0,2422,2022-04-05,2022-04-04
2022-04-05,1,1055,28654,112,709,0,2419,2022-04-05,2022-04-04
2022-04-05,1,1056,61241,450,1312,2,3598,2022-04-05,2022-04-04
2022-04-05,1,1057,18296,50,449,0,1735,2022-04-05,2022-04-04
2022-04-05,1,1058,47546,90,407,0,3973,2022-04-05,2022-04-04
2022-04-05,1,1059,36100,106,395,0,2861,2022-04-05,2022-04-04
2022-04-05,1,1060,51688,257,916,1,3329,2022-04-05,2022-04-04
2022-04-05,1,1061,18375,63,339,0,1499,2022-04-05,2022-04-04
2022-04-05,1,1062,45943,357,599,0,2694,2022-04-05,2022-04-04
2022-04-05,2,2000,460094,2398,3021,2,20582,2022-04-05,2022-04-04
2022-04-05,3,3101,51832,253,901,3,4158,2022-04-05,2022-04-04
2022-04-05,3,3102,28360,151,348,0,1757,2022-04-05,2022-04-04
2022-04-05,3,3103,32163,167,522,2,2841,2022-04-05,2022-04-04
2022-04-05,3,3151,41546,289,681,4,2549,2022-04-05,2022-04-04
2022-04-05,3,3153,26793,174,333,0,1867,2022-04-05,2022-04-04
2022-04-05,3,3154,20501,127,425,1,1234,2022-04-05,2022-04-04
2022-04-05,3,3155,26828,118,458,0,2486,2022-04-05,2022-04-04
2022-04-05,3,3157,32609,135,515,0,1987,2022-04-05,2022-04-04
2022-04-05,3,3158,24494,117,462,1,2308,2022-04-05,2022-04-04
2022-04-05,3,3159,57052,354,825,2,3548,2022-04-05,2022-04-04
2022-04-05,3,3241,285485,1468,3682,2,15127,2022-04-05,2022-04-04
2022-04-05,3,3251,46181,132,888,2,4144,2022-04-05,2022-04-04
2022-04-05,3,3252,33000,121,338,0,2040,2022-04-05,2022-04-04
2022-04-05,3,3254,59199,389,539,1,3799,2022-04-05,2022-04-04
2022-04-05,3,3255,14296,113,216,1,1211,2022-04-05,2022-04-04
