Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2021-10-10,1,1001,2844,39,6,0,28,2021-10-10,2021-10-09
2021-10-10,1,1002,7277,113,0,0,86,2021-10-10,2021-10-08
2021-10-10,1,1003,6907,100,6,0,54,2021-10-10,2021-10-09
2021-10-10,1,1004,2494,24,2,0,39,2021-10-10,2021-10-09
2021-10-10,1,1051,2601,55,2,0,22,2021-10-10,2021-10-09
2021-10-10,1,1053,6125,117,0,0,33,2021-10-10,2021-10-08
2021-10-10,1,1054,3300,84,0,0,26,2021-10-10,2021-10-08
2021-10-10,1,1055,3863,86,4,0,39,2021-10-10,2021-10-09
2021-10-10,1,1056,12569,389,15,0,122,2021-10-10,2021-10-09
2021-10-10,1,1057,1798,36,0,0,23,2021-10-10,2021-10-08
2021-10-10,1,1058,4973,62,3,0,49,2021-10-10,2021-10-09
2021-10-10,1,1059,3336,61,3,1,30,2021-10-10,2021-10-09
2021-10-10,1,1060,8131,167,17,0,85,2021-10-10,2021-10-09
2021-10-10,1,1061,2872,42,3,0,36,2021-10-10,2021-10-09
2021-10-10,1,1062,8255,318,0,0,118,2021-10-10,2021-10-08
2021-10-10,2,2000,93240,1754,188,5,1022,2021-10-10,2021-10-09
2021-10-10,3,3101,7685,194,3,0,49,2021-10-10,2021-10-09
2021-10-10,3,3102,6535,82,0,0,69,2021-10-10,2021-10-08
2021-10-10,3,3103,5114,94,17,0,99,2021-10-10,2021-10-09
2021-10-10,3,3151,7198,191,9,0,67,2021-10-10,2021-10-09
2021-10-10,3,3153,3123,138,0,0,26,2021-10-10,2021-10-08
2021-10-10,3,3154,2837,95,2,0,31,2021-10-10,2021-10-09
2021-10-10,3,3155,3122,63,13,0,77,2021-10-10,2021-10-09
2021-10-10,3,3157,6320,106,15,0,46,2021-10-10,2021-10-09
2021-10-10,3,3158,3337,101,0,0,21,2021-10-10,2021-10-08
2021-10-10,3,3159,9272,280,16,0,108,2021-10-10,2021-10-09
2021-10-10,3,3241,57422,1086,0,0,473,2021-10-10,2021-10-08
2021-10-10,3,3251,7954,111,0,0,94,2021-10-10,2021-10-08
2021-10-10,3,3252,5159,102,7,0,56,2021-10-10,2021-10-09
2021-10-10,3,3254,10608,294,25,0,120,2021-10-10,2021-10-09
2021-10-10,3,3255,2121,64,12,0,73,2021-10-10,2021-10-09
2021-10-10,3,3256,4402,162,0,0,93,2021-10-10,2021-10-08
2021-10-10,3,3257,5647,76,8,0,36,2021-10-10,2021-10-09
2021-10-10,3,3351,5667,69,15,0,101,2021-10-10,2021-10-09
2021-10-10,3,3352,5526,180,11,0,104,2021-10-10,2021-10-09
2021-10-10,3,3353,8052,118,24,0,97,2021-10-10,2021-10-09
2021-10-10,3,3354,1053,26,0,0,4,2021-10-10,2021-10-08
2021-10-10,3,3355,4591,68,9,0,48,2021-10-10,2021-10-09
2021-10-10,3,3356,3079,66,3,0,27,2021-10-10,2021-10-08
2021-10-10,3,3357,4525,100,0,0,17,2021-10-10,2021-10-08
2021-10-10,3,3358,3956,110,0,0,31,2021-10-10,2021-10-08
2021-10-10,3,3359,6269,130,0,0,81,2021-10-10,2021-10-08
2021-10-10,3,3360,2509,115,3,0,29,2021-10-10,2021-10-09
2021-10-10,3,3361,5001,71,27,0,104,2021-10-10,2021-10-09
2021-10-10,3,3401,4169,70,0,0,45,2021-10-10,2021-10-08
2021-10-10,3,3402,1566,16,5,0,19,2021-10-10,2021-10-09
2021-10-10,3,3403,5354,51,20,0,88,2021-10-10,2021-10-09
2021-10-10,3,3404,8678,104,10,0,93,2021-10-10,2021-10-09
2021-10-10,3,3405,2340,57,6,0,21,2021-10-10,2021-10-08
2021-10-10,3,3451,3651,64,18,0,50,2021-10-10,2021-10-09
2021-10-10,3,3452,4343,62,9,0,44,2021-10-10,2021-10-09
2021-10-10,3,3453,12006,172,0,0,136,2021-10-10,2021-10-08
2021-10-10,3,3454,14354,204,30,0,190,2021-10-10,2021-10-09
2021-10-10,3,3455,1868,42,1,0,17,2021-10-10,2021-10-09
2021-10-10,3,3456,6189,127,20,0,70,2021-10-10,2021-10-09
2021-10-10,3,3457,4840,64,5,0,47,2021-10-10,2021-10-09
2021-10-10,3,3458,5635,119,5,0,42,2021-10-10,2021-10-09
2021-10-10,3,3459,17446,308,26,0,136,2021-10-10,2021-10-09
2021-10-10,3,3460,9686,95,0,0,106,2021-10-10,2021-10-08
2021-10-10,3,3461,3622,118,2,0,16,2021-10-10,2021-10-09
2021-10-10,3,3462,1387,35,0,0,16,2021-10-10,2021-10-08
2021-10-10,4,4011,27387,400,58,1,427,2021-10-10,2021-10-09
2021-10-10,4,4012,6470,118,35,0,281,2021-10-10,2021-10-09
2021-10-10,5,5111,32360,477,115,3,405,2021-10-10,2021-10-09
2021-10-10,5,5112,33791,692,39,0,283,2021-10-10,2021-10-09
2021-10-10,5,5113,31375,607,0,0,259,2021-10-10,2021-10-08
2021-10-10,5,5114,13858,184,22,0,106,2021-10-10,2021-10-09
2021-10-10,5,5116,13894,240,17,0,186,2021-10-10,2021-10-09
2021-10-10,5,5117,9871,239,6,0,83,2021-10-10,2021-10-09
2021-10-10,5,5119,12791,379,19,0,108,2021-10-10,2021-10-09
2021-10-10,5,5120,7185,182,13,0,42,2021-10-10,2021-10-09
2021-10-10,5,5122,10986,207,0,0,91,2021-10-10,2021-10-08
2021-10-10,5,5124,25100,500,25,0,157,2021-10-10,2021-10-09
