GENESIS-Tabelle: 12411-0015
Bevölkerung: Kreise, Stichtag;;
Fortschreibung des Bevölkerungsstandes;;
Bevölkerungsstand (Anzahl);;
;;Stichtag
;;31.12.2019
01001;Flensburg, kreisfreie Stadt;90164
01002;Kiel, kreisfreie Stadt;246794
01003;Lübeck, kreisfreie Stadt;216530
01004;Neumünster, kreisfreie Stadt;80196
01051;Dithmarschen, Landkreis;133193
01053;Herzogtum Lauenburg, Landkreis;198019
01054;Nordfriesland, Landkreis;165951
01055;Ostholstein, Landkreis;200539
01056;Pinneberg, Landkreis;316103
01057;Plön, Landkreis;128686
01058;Rendsburg-Eckernförde, Landkreis;274098
01059;Schleswig-Flensburg, Landkreis;201156
01060;Segeberg, Landkreis;277175
01061;Steinburg, Landkreis;131013
01062;Stormarn, Landkreis;244156
02000;Hamburg, kreisfreie Stadt;1847253
03101;Braunschweig, kreisfreie Stadt;249406
03102;Salzgitter, kreisfreie Stadt;104291
03103;Wolfsburg, kreisfreie Stadt;124371
03151;Gifhorn, Landkreis;176523
03152;Göttingen, Landkreis (bis 31.10.2016);-
03153;Goslar, Landkreis;136292
03154;Helmstedt, Landkreis;91297
03155;Northeim, Landkreis;132285
03156;Osterode am Harz, Landkreis (bis 31.10.2016);-
03157;Peine, Landkreis;134801
03158;Wolfenbüttel, Landkreis;119622
03159;Göttingen, Landkreis;326041
03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-
03241;Region Hannover, Landkreis;1157115
03251;Diepholz, Landkreis;217089
03252;Hameln-Pyrmont, Landkreis;148549
03253;Hannover, Landkreis (bis 31.10.2001);-
03254;Hildesheim, Landkreis;275817
03255;Holzminden, Landkreis;70458
03256;Nienburg (Weser), Landkreis;121390
03257;Schaumburg, Landkreis;157820
03351;Celle, Landkreis;179011
03352;Cuxhaven, Landkreis;198038
03353;Harburg, Landkreis;254431
03354;Lüchow-Dannenberg, Landkreis;48412
03355;Lüneburg, Landkreis;184139
03356;Osterholz, Landkreis;113928
03357;Rotenburg (Wümme), Landkreis;163782
03358;Heidekreis;140673
03359;Stade, Landkreis;204512
03360;Uelzen, Landkreis;92389
03361;Verden, Landkreis;137133
03401;Delmenhorst, kreisfreie Stadt;77559
03402;Emden, kreisfreie Stadt;49913
03403;Oldenburg (Oldenburg), kreisfreie Stadt;169077
03404;Osnabrück, kreisfreie Stadt;165251
03405;Wilhelmshaven, kreisfreie Stadt;76089
03451;Ammerland, Landkreis;124859
03452;Aurich, Landkreis;189694
03453;Cloppenburg, Landkreis;170682
03454;Emsland, Landkreis;326954
03455;Friesland, Landkreis;98704
03456;Grafschaft Bentheim, Landkreis;137162
03457;Leer, Landkreis;170756
03458;Oldenburg, Landkreis;130890
