Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2023-04-18,00,Bundesgebiet,14571,17.50541020614792
2023-04-18,01,Schleswig-Holstein,672,22.9979072588856
2023-04-18,02,Hamburg,423,22.81633390598915
2023-04-18,03,Niedersachsen,1287,16.033325397647026
2023-04-18,04,Bremen,93,13.74798030343123
2023-04-18,05,Nordrhein-Westfalen,2624,14.639106688682604
2023-04-18,06,Hessen,1012,16.07620757815269
2023-04-18,07,Rheinland-Pfalz,555,13.5152082620538
2023-04-18,08,Baden-Württemberg,1289,11.586889717439895
2023-04-18,09,Bayern,2158,16.377034237487788
2023-04-18,10,Saarland,223,22.700712985622204
2023-04-18,11,Berlin,892,24.25579311004952
2023-04-18,12,Brandenburg,640,25.218017643155594
2023-04-18,13,Mecklenburg-Vorpommern,609,37.79885300032275
2023-04-18,14,Sachsen,1012,25.0309052530768
2023-04-18,15,Sachsen-Anhalt,679,31.30109765896371
2023-04-18,16,Thüringen,403,19.10982363482123
2023-04-19,00,Bundesgebiet,12562,15.091823691553785
2023-04-19,01,Schleswig-Holstein,557,19.06225348690368
2023-04-19,02,Hamburg,445,24.00299902639521
2023-04-19,03,Niedersachsen,1258,15.672046115182564
2023-04-19,04,Bremen,82,12.121875106251192
2023-04-19,05,Nordrhein-Westfalen,2264,12.630692661271882
2023-04-19,06,Hessen,795,12.62903658560414
2023-04-19,07,Rheinland-Pfalz,480,11.688828767181665
2023-04-19,08,Baden-Württemberg,1075,9.663232308958795
2023-04-19,09,Bayern,1818,13.796778611562928
2023-04-19,10,Saarland,169,17.203679347848215
2023-04-19,11,Berlin,793,21.56372638595209
2023-04-19,12,Brandenburg,534,21.041283471007947
2023-04-19,13,Mecklenburg-Vorpommern,484,30.04046773753073
2023-04-19,14,Sachsen,847,20.949779396596885
2023-04-19,15,Sachsen-Anhalt,612,28.212476829581423
2023-04-19,16,Thüringen,349,16.5492021055896
2023-04-20,00,Bundesgebiet,11968,14.37819980421236
2023-04-20,01,Schleswig-Holstein,535,18.309345808785405
2023-04-20,02,Hamburg,430,23.193909171572898
2023-04-20,03,Niedersachsen,1228,15.298308926426222
2023-04-20,04,Bremen,67,9.904458928278412
2023-04-20,05,Nordrhein-Westfalen,2138,11.927747751678128
2023-04-20,06,Hessen,733,11.644130587733123
2023-04-20,07,Rheinland-Pfalz,430,10.471242437266907
2023-04-20,08,Baden-Württemberg,1038,9.3306373364644
2023-04-20,09,Bayern,1795,13.622231907456248
2023-04-20,10,Saarland,174,17.712663943938402
2023-04-20,11,Berlin,784,21.31899304739778
2023-04-20,12,Brandenburg,517,20.371429877361628
2023-04-20,13,Mecklenburg-Vorpommern,437,27.12331487872092
2023-04-20,14,Sachsen,801,19.812010976002487
2023-04-20,15,Sachsen-Anhalt,542,24.98555954515218
2023-04-20,16,Thüringen,319,15.126634589349806
2023-04-21,00,Bundesgebiet,11262,13.530020571109592
2023-04-21,01,Schleswig-Holstein,493,16.871976605105058
2023-04-21,02,Hamburg,388,20.92845757807043
2023-04-21,03,Niedersachsen,1138,14.1770973601572
2023-04-21,04,Bremen,53,7.83487049550382
2023-04-21,05,Nordrhein-Westfalen,2117,11.810590266745836
2023-04-21,06,Hessen,716,11.374075717349134
2023-04-21,07,Rheinland-Pfalz,412,10.032911358497596
2023-04-21,08,Baden-Württemberg,980,8.809272244446158
2023-04-21,09,Bayern,1661,12.605307631356451
2023-04-21,10,Saarland,155,15.7785224787957
2023-04-21,11,Berlin,710,19.306741152617885
2023-04-21,12,Brandenburg,501,19.740979436282736
2023-04-21,13,Mecklenburg-Vorpommern,438,27.18538196082326
2023-04-21,14,Sachsen,732,18.105358345110886
2023-04-21,15,Sachsen-Anhalt,495,22.818915082749683
2023-04-21,16,Thüringen,273,12.945364397782123
2023-04-22,00,Bundesgebiet,10849,13.03384773361463
2023-04-22,01,Schleswig-Holstein,489,16.735084299992643
2023-04-22,02,Hamburg,258,13.91634550294374
2023-04-22,03,Niedersachsen,1196,14.899655925086126
2023-04-22,04,Bremen,43,6.356593043521967
2023-04-22,05,Nordrhein-Westfalen,2029,11.319644615600993
2023-04-22,06,Hessen,660,10.484483203143055
2023-04-22,07,Rheinland-Pfalz,410,9.984207905301004
2023-04-22,08,Baden-Württemberg,973,8.746348871271543
2023-04-22,09,Bayern,1587,12.04372258336104
