Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-08-13,00,Bundesgebiet,284558,342.20178451980854
2022-08-13,01,Schleswig-Holstein,11231,385.8290033065659
2022-08-13,02,Hamburg,4964,267.96539554045984
2022-08-13,03,Niedersachsen,29361,366.85562336405894
2022-08-13,04,Bremen,2470,363.1658653492715
2022-08-13,05,Nordrhein-Westfalen,71345,398.0068695165621
2022-08-13,06,Hessen,25448,404.37592978020245
2022-08-13,07,Rheinland-Pfalz,14187,346.160237029605
2022-08-13,08,Baden-Württemberg,31706,285.56135466646396
2022-08-13,09,Bayern,41538,316.1143189558319
2022-08-13,10,Saarland,3563,362.09680779600626
2022-08-13,11,Berlin,10720,292.5693924381729
2022-08-13,12,Brandenburg,8851,349.6938647710791
2022-08-13,13,Mecklenburg-Vorpommern,6573,408.06469436432417
2022-08-13,14,Sachsen,11877,292.7575234641076
2022-08-13,15,Sachsen-Anhalt,6328,290.1841807432897
2022-08-13,16,Thüringen,4396,207.33531204294616
