Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-12-14,00,Bundesgebiet,192403,231.15046598678734
2022-12-14,01,Schleswig-Holstein,9015,308.5210326471036
2022-12-14,02,Hamburg,3791,204.48397597542524
2022-12-14,03,Niedersachsen,35674,444.42334905645686
2022-12-14,04,Bremen,2864,423.3786622476026
2022-12-14,05,Nordrhein-Westfalen,50152,279.7943897297294
2022-12-14,06,Hessen,12157,193.12100348577295
2022-12-14,07,Rheinland-Pfalz,6421,156.36243648765307
2022-12-14,08,Baden-Württemberg,16087,144.6069006085769
2022-12-14,09,Bayern,15653,118.79041562529952
2022-12-14,10,Saarland,2314,235.55807107053712
2022-12-14,11,Berlin,8834,240.2193680876428
2022-12-14,12,Brandenburg,8987,354.1161321234989
2022-12-14,13,Mecklenburg-Vorpommern,5864,363.9613694480995
2022-12-14,14,Sachsen,7082,175.16686857933783
2022-12-14,15,Sachsen-Anhalt,4953,228.32744728254383
2022-12-14,16,Thüringen,2555,121.15533346642242
