Datenstand,IdLandkreis,Landkreis,AnzahlFall_7d,incidence_7d
2024-01-08,01001,SK Flensburg,12,13.170458661222877
2024-01-08,01002,SK Kiel,18,7.309852462811126
2024-01-08,01003,SK Lübeck,29,13.40873047064644
2024-01-08,01004,SK Neumünster,11,13.837174197443895
2024-01-08,01051,LK Dithmarschen,22,16.421709499958947
2024-01-08,01053,LK Herzogtum Lauenburg,20,9.95921700635896
2024-01-08,01054,LK Nordfriesland,17,10.145619479589401
2024-01-08,01055,LK Ostholstein,20,9.900303939330938
2024-01-08,01056,LK Pinneberg,26,8.167727424087257
2024-01-08,01057,LK Plön,7,5.39761117151295
2024-01-08,01058,LK Rendsburg-Eckernförde,17,6.158237729711324
2024-01-08,01059,LK Schleswig-Flensburg,23,11.28562946825058
2024-01-08,01060,LK Segeberg,39,13.90870185449358
2024-01-08,01061,LK Steinburg,31,23.69251698600613
2024-01-08,01062,LK Stormarn,12,4.8898559937409845
2024-01-08,02000,SK Hamburg,241,12.999377000811785
2024-01-08,03101,SK Braunschweig,58,23.309742266591112
2024-01-08,03102,SK Salzgitter,10,9.643759523212529
2024-01-08,03103,SK Wolfsburg,27,21.78315274830777
2024-01-08,03151,LK Gifhorn,19,10.679016855985028
2024-01-08,03153,LK Goslar,17,12.68183513614323
2024-01-08,03154,LK Helmstedt,11,12.03777673207192
2024-01-08,03155,LK Northeim,22,16.696391302697986
2024-01-08,03157,LK Peine,6,4.380841121495327
2024-01-08,03158,LK Wolfenbüttel,21,17.613903240958194
2024-01-08,03159,LK Göttingen,45,13.903436002484082
2024-01-08,03241,Region Hannover,133,11.48987379280734
2024-01-08,03251,LK Diepholz,17,7.768267996106728
2024-01-08,03252,LK Hameln-Pyrmont,13,8.726999321979283
2024-01-08,03254,LK Hildesheim,12,4.367241322837397
2024-01-08,03255,LK Holzminden,4,5.7255732730239615
2024-01-08,03256,LK Nienburg (Weser),10,8.212001018288127
2024-01-08,03257,LK Schaumburg,5,3.1623953247147516
2024-01-08,03351,LK Celle,40,22.23272100714226
2024-01-08,03352,LK Cuxhaven,12,6.011933688371418
2024-01-08,03353,LK Harburg,21,8.153819870470748
2024-01-08,03354,LK Lüchow-Dannenberg,8,16.50437365901964
2024-01-08,03355,LK Lüneburg,14,7.562294400120996
2024-01-08,03356,LK Osterholz,10,8.691570914527091
2024-01-08,03357,LK Rotenburg (Wümme),12,7.272683195859419
2024-01-08,03358,LK Heidekreis,13,9.096506941334528
2024-01-08,03359,LK Stade,6,2.905625290562529
2024-01-08,03360,LK Uelzen,16,17.223932654423322
2024-01-08,03361,LK Verden,12,8.663822045095193
2024-01-08,03401,SK Delmenhorst,11,14.189520394210675
2024-01-08,03402,SK Emden,1,2.0192637764271146
2024-01-08,03403,SK Oldenburg,7,4.10824642435838
2024-01-08,03404,SK Osnabrück,17,10.300907691748368
2024-01-08,03405,SK Wilhelmshaven,4,5.331414024284591
2024-01-08,03451,LK Ammerland,24,18.976082229689663
2024-01-08,03452,LK Aurich,9,4.726270185112249
2024-01-08,03453,LK Cloppenburg,9,5.173008391769169
2024-01-08,03454,LK Emsland,30,9.0525864748323
2024-01-08,03455,LK Friesland,3,3.0311909549261906
2024-01-08,03456,LK Grafschaft Bentheim,19,13.696457663528495
2024-01-08,03457,LK Leer,5,2.899878785066784
2024-01-08,03458,LK Oldenburg,8,6.056430793922372
2024-01-08,03459,LK Osnabrück,25,6.914672935970128
2024-01-08,03460,LK Vechta,10,6.9058388867787714
2024-01-08,03461,LK Wesermarsch,6,6.785027705529797
2024-01-08,03462,LK Wittmund,9,15.664433034548779
2024-01-08,04011,SK Bremen,82,14.557332812583217
2024-01-08,04012,SK Bremerhaven,9,7.952426815583222
2024-01-08,05111,SK Düsseldorf,130,20.985444173068572
2024-01-08,05112,SK Duisburg,67,13.531198500662422
2024-01-08,05113,SK Essen,80,13.806624418395947
2024-01-08,05114,SK Krefeld,46,20.259854657564414
2024-01-08,05116,SK Mönchengladbach,1,0.38314029448163034
2024-01-08,05117,SK Mülheim a.d.Ruhr,24,14.056542441972836
2024-01-08,05119,SK Oberhausen,9,4.31133593929639
2024-01-08,05120,SK Remscheid,22,19.683278160508188
2024-01-08,05122,SK Solingen,17,10.694716181105582
2024-01-08,05124,SK Wuppertal,131,36.945951738998005
2024-01-08,05154,LK Kleve,90,28.60084658505892
2024-01-08,05158,LK Mettmann,101,20.850063272716763
2024-01-08,05162,LK Rhein-Kreis Neuss,107,23.646617870655213
2024-01-08,05166,LK Viersen,38,12.719196950070456
2024-01-08,05170,LK Wesel,49,10.642156404949255
2024-01-08,05314,SK Bonn,36,10.847130783253236
2024-01-08,05315,SK Köln,115,10.716655359818693
2024-01-08,05316,SK Leverkusen,44,26.853665830541164
2024-01-08,05334,StädteRegion Aachen,26,4.67060554400878
2024-01-08,05358,LK Düren,38,14.2444268679879
2024-01-08,05362,LK Rhein-Erft-Kreis,41,8.688447120203607
2024-01-08,05366,LK Euskirchen,29,14.894633309536161
2024-01-08,05370,LK Heinsberg,36,13.93695849109196
2024-01-08,05374,LK Oberbergischer Kreis,28,10.308481302992037
2024-01-08,05378,LK Rheinisch-Bergischer Kreis,12,4.233864565728983
2024-01-08,05382,LK Rhein-Sieg-Kreis,78,12.984159325622741
2024-01-08,05512,SK Bottrop,28,23.868179454612097
2024-01-08,05513,SK Gelsenkirchen,74,28.447752243143707
2024-01-08,05515,SK Münster,35,11.016231630433756
2024-01-08,05554,LK Borken,59,15.793052127779177
2024-01-08,05558,LK Coesfeld,43,19.426072499909644
2024-01-08,05562,LK Recklinghausen,193,31.494726673096157
2024-01-08,05566,LK Steinfurt,20,4.44270685243105
2024-01-08,05570,LK Warendorf,30,10.784539284481767
2024-01-08,05711,SK Bielefeld,50,14.969970239699164
2024-01-08,05754,LK Gütersloh,26,7.10180713676988
2024-01-08,05758,LK Herford,12,4.787838889221378
2024-01-08,05762,LK Höxter,8,5.714530622740974
2024-01-08,05766,LK Lippe,27,7.800064133860656
2024-01-08,05770,LK Minden-Lübbecke,28,8.99702455545059
2024-01-08,05774,LK Paderborn,14,4.525179391040145
2024-01-08,05911,SK Bochum,36,9.905321634047892
2024-01-08,05913,SK Dortmund,189,32.205735006441145
2024-01-08,05914,SK Hagen,44,23.315828798227997
2024-01-08,05915,SK Hamm,12,6.6950088708867534
2024-01-08,05916,SK Herne,13,8.30029178718052
2024-01-08,05954,LK Ennepe-Ruhr-Kreis,28,8.691792154415896
2024-01-08,05958,LK Hochsauerlandkreis,25,9.666879338012103
2024-01-08,05962,LK Märkischer Kreis,67,16.470293244967344
2024-01-08,05966,LK Olpe,11,8.263221153846155
2024-01-08,05970,LK Siegen-Wittgenstein,108,39.36692157963418
2024-01-08,05974,LK Soest,28,9.26238347590788
2024-01-08,05978,LK Unna,66,16.791201410460918
2024-01-08,06411,SK Darmstadt,25,15.661118454435544
2024-01-08,06412,SK Frankfurt am Main,244,32.138077826833715
2024-01-08,06413,SK Offenbach,23,17.517803419779884
2024-01-08,06414,SK Wiesbaden,80,28.678974726653525
2024-01-08,06431,LK Bergstraße,32,11.800889492045464
2024-01-08,06432,LK Darmstadt-Dieburg,46,15.493432132030987
2024-01-08,06433,LK Groß-Gerau,41,14.838567245853344
2024-01-08,06434,LK Hochtaunuskreis,54,22.780869132344193
2024-01-08,06435,LK Main-Kinzig-Kreis,67,15.821850684236006
2024-01-08,06436,LK Main-Taunus-Kreis,48,20.060515889600293
2024-01-08,06437,LK Odenwaldkreis,14,14.439986385155693
2024-01-08,06438,LK Offenbach,73,20.42152260634578
2024-01-08,06439,LK Rheingau-Taunus-Kreis,22,11.75031645738641
2024-01-08,06440,LK Wetteraukreis,24,7.700674771626864
2024-01-08,06531,LK Gießen,52,19.056414315764783
2024-01-08,06532,LK Lahn-Dill-Kreis,30,11.840671918662478
