Datenstand,IdLandkreis,Landkreis,AnzahlFall_7d,incidence_7d
2022-05-22,01001,SK Flensburg,524,582.6494985211377
2022-05-22,01002,SK Kiel,1378,558.7974095806586
2022-05-22,01003,SK Lübeck,1173,543.4430102943766
2022-05-22,01004,SK Neumünster,317,396.7211063137476
2022-05-22,01051,LK Dithmarschen,648,486.3002904293401
2022-05-22,01053,LK Herzogtum Lauenburg,743,373.08186711657424
2022-05-22,01054,LK Nordfriesland,944,564.7723261560184
2022-05-22,01055,LK Ostholstein,834,413.92248631425355
2022-05-22,01056,LK Pinneberg,1354,427.0148382925714
2022-05-22,01057,LK Plön,837,647.0665543126174
2022-05-22,01058,LK Rendsburg-Eckernförde,1804,656.5610612705402
2022-05-22,01059,LK Schleswig-Flensburg,1024,505.3121931240038
2022-05-22,01060,LK Segeberg,1318,474.0887819371454
2022-05-22,01061,LK Steinburg,634,485.0580692546631
2022-05-22,01062,LK Stormarn,1187,484.5115494981407
2022-05-22,02000,SK Hamburg,5611,302.8915862968413
2022-05-22,03101,SK Braunschweig,1115,448.582038211948
2022-05-22,03102,SK Salzgitter,305,293.64758438757633
2022-05-22,03103,SK Wolfsburg,389,314.11498708010333
2022-05-22,03151,LK Gifhorn,599,337.98461859648927
2022-05-22,03153,LK Goslar,452,335.5904015205512
2022-05-22,03154,LK Helmstedt,274,299.394654603466
2022-05-22,03155,LK Northeim,503,381.71994050329357
2022-05-22,03157,LK Peine,457,336.4152999028297
2022-05-22,03158,LK Wolfenbüttel,536,449.05789998408187
2022-05-22,03159,LK Göttingen,1430,441.4942883606051
2022-05-22,03241,Region Hannover,3580,309.86817619208364
2022-05-22,03251,LK Diepholz,1278,586.0449759712388
2022-05-22,03252,LK Hameln-Pyrmont,584,393.0542468703729
2022-05-22,03254,LK Hildesheim,1175,426.55301600209106
2022-05-22,03255,LK Holzminden,254,361.7872861680459
2022-05-22,03256,LK Nienburg (Weser),595,489.1282009124913
2022-05-22,03257,LK Schaumburg,672,424.22635506230824
2022-05-22,03351,LK Celle,736,410.28842830544187
2022-05-22,03352,LK Cuxhaven,1047,526.5910896965186
2022-05-22,03353,LK Harburg,1207,471.4549090681832
2022-05-22,03354,LK Lüchow-Dannenberg,318,655.6295486877101
2022-05-22,03355,LK Lüneburg,767,416.31611800146555
2022-05-22,03356,LK Osterholz,554,483.2519190509421
2022-05-22,03357,LK Rotenburg (Wümme),785,477.24426394951547
2022-05-22,03358,LK Heidekreis,614,435.81644603754836
2022-05-22,03359,LK Stade,1159,564.383001309914
2022-05-22,03360,LK Uelzen,584,630.9011948231532
2022-05-22,03361,LK Verden,728,529.1697559131812
2022-05-22,03401,SK Delmenhorst,551,710.9402216688386
2022-05-22,03402,SK Emden,112,224.56590608333
2022-05-22,03403,SK Oldenburg,903,532.4135491288582
