Datenstand,IdBundesland,Bundesland,AnzahlFall_7d,incidence_7d
2022-06-12,00,Bundesgebiet,277519,333.7368727575846
2022-06-12,01,Schleswig-Holstein,15805,542.9638854296388
2022-06-12,02,Hamburg,6281,339.0593572501266
2022-06-12,03,Niedersachsen,38256,477.9955971327761
2022-06-12,04,Bremen,2587,380.36845897107906
2022-06-12,05,Nordrhein-Westfalen,69538,387.92629746222855
2022-06-12,06,Hessen,28544,453.5722469210192
2022-06-12,07,Rheinland-Pfalz,14991,365.7776917819701
2022-06-12,08,Baden-Württemberg,27038,243.51882632535964
2022-06-12,09,Bayern,40591,308.9074178038464
2022-06-12,10,Saarland,3593,365.14561616925357
2022-06-12,11,Berlin,7914,215.98826229064366
2022-06-12,12,Brandenburg,4821,190.47272873815075
2022-06-12,13,Mecklenburg-Vorpommern,4122,255.90182111208648
2022-06-12,14,Sachsen,6958,171.50853315342766
2022-06-12,15,Sachsen-Anhalt,4131,189.43597513440739
2022-06-12,16,Thüringen,2349,110.78950136234769
